study_id,code,name,cluster,distance_to_centroid,outlier_score,is_outlier,is_synthetic,price,delivery_hours,parameter_count,request_count,sample_type,analysis_method,requires_special_processing
20,ALB01,ALBUMINA,1,2.4996,0.915,False,False,90.0,0.3333333333333333,15,3,sin_especificar,colorimetria,False
21,BILI01,BILIRRUBINA TOTAL,1,2.0102,0.736,False,False,100.0,0.3333333333333333,15,2,sin_especificar,colorimetria,False
22,TGO01,TGO,1,2.024,0.741,False,False,110.0,0.3333333333333333,15,2,sin_especificar,enzimatico,False
23,TGP01,TGP,1,1.8774,0.688,False,False,110.0,0.3333333333333333,15,1,sin_especificar,enzimatico,False
29,PCR01,PCR,1,1.8221,0.667,False,False,150.0,0.4166666666666667,15,1,sin_especificar,inmunoensayo,False
30,VDRL01,VDRL,1,2.4859,0.91,False,False,160.0,0.4166666666666667,15,3,sin_especificar,aglutinacion,False
31,VIH01,VIH,1,1.7898,0.656,False,False,320.0,0.5,15,0,sin_especificar,elisa,False
32,GLU-PP01,Glucosa posprandial,1,2.2301,0.817,False,False,110.0,1.0,15,0,serum,enzimatico colorimetrico,False
33,INS-AY01,Insulina sérica en ayuno,1,1.4483,0.53,False,False,390.0,2.0,15,1,serum,quimioluminiscencia,False
35,QS003,Química sanguínea de 3 elementos,1,2.1035,0.77,False,False,190.0,1.0,3,0,serum,espectrofotometria,False
36,DDIM01,Dímero D cuantitativo,1,2.0236,0.741,False,False,420.0,2.0,15,0,plasma,inmunoturbidimetria,True
37,EXFAR01,Cultivo de exudado faríngeo,2,3.8914,1.27,True,False,360.0,48.0,15,2,swab,cultivo microbiologico,True
38,COVPCR01,Detección de SARS-CoV-2 por RT-PCR,2,3.4512,1.126,True,False,950.0,24.0,15,2,swab,rt-pcr,True
39,BH001,Biometría hemática completa,1,2.0246,0.741,False,False,180.0,1.0,15,0,sin_especificar,citometria / hematologia automatizada,False
40,QS006,Química sanguínea de 6 elementos,1,1.7016,0.623,False,False,260.0,1.0,15,2,sin_especificar,espectrofotometria,False
41,QS012,Química sanguínea de 12 elementos,1,1.514,0.554,False,False,420.0,1.5,15,2,sin_especificar,espectrofotometria,False
42,GLU001,Glucosa en sangre,1,2.0191,0.74,False,False,80.0,0.75,15,2,sin_especificar,enzimatico colorimetrico,False
44,PL001,Perfil lipídico,1,1.8574,0.68,False,False,250.0,1.0,15,0,sin_especificar,espectrofotometria,False
45,EGO001,Examen general de orina,1,1.8721,0.686,False,False,120.0,0.75,15,1,sin_especificar,tira reactiva y microscopia,False
46,UROCUL,Urocultivo,2,3.8737,1.264,True,False,380.0,48.0,15,0,sin_especificar,cultivo microbiologico,False
47,HCG001,Prueba de embarazo en sangre,1,1.979,0.725,False,False,180.0,1.0,15,0,sin_especificar,inmunoensayo,False
48,PH001,Perfil hepático,1,1.3194,0.483,False,False,390.0,1.5,15,1,sin_especificar,espectrofotometria,False
49,PT001,Perfil tiroideo T3 T4 TSH,1,1.535,0.562,False,False,520.0,2.0,15,2,sin_especificar,quimioluminiscencia,False
50,PSA001,Antígeno prostático específico PSA,1,1.6566,0.607,False,False,360.0,2.0,15,0,sin_especificar,quimioluminiscencia,False
51,GRH001,Grupo sanguíneo y factor RH,1,2.1371,0.783,False,False,130.0,0.75,15,0,sin_especificar,hemaglutinacion,False
52,COP001,Coprológico general,1,1.7846,0.654,False,False,140.0,1.0,15,1,sin_especificar,microscopia,False
53,RF001,Reacciones febriles,1,1.914,0.701,False,False,220.0,1.5,15,0,sin_especificar,aglutinacion,False
54,TP001,Tiempo de protrombina TP,1,1.9619,0.719,False,False,180.0,1.0,15,0,sin_especificar,coagulometria,False
55,TPT001,Tiempo parcial de tromboplastina TPT,1,1.6692,0.611,False,False,180.0,1.0,15,1,sin_especificar,coagulometria,False
59,ECN-CAT-QC-001,Determinación de Glucosa,1,1.6209,0.594,False,True,310.0,1.0,8,2,serum,enzimatico,False
60,ECN-CAT-HEM-001,Determinación de Biometría hemática,1,1.8836,0.69,False,True,500.0,1.75,15,0,blood,impedancia,False
61,ECN-CAT-INM-001,Determinación de Proteína C reactiva,2,1.7852,0.583,False,True,690.0,2.75,22,2,serum,inmunoensayo,False
62,ECN-CAT-MIC-001,Determinación de Urocultivo,2,3.7102,1.211,True,True,940.0,14.25,29,3,urine,cultivo,True
63,ECN-CAT-COA-001,Determinación de Tiempo de protrombina,1,1.5395,0.564,False,True,360.0,1.25,6,2,plasma,coagulometria,False
64,ECN-CAT-END-001,Determinación de Hormona estimulante de tiroides,1,1.7624,0.645,False,True,540.0,2.25,13,0,serum,inmunoensayo,False
65,ECN-CAT-URO-001,Determinación de Examen general de orina,2,2.0145,0.657,False,True,610.0,1.75,20,1,urine,tira reactiva,False
66,ECN-CAT-MOL-001,Determinación de Detección molecular de SARS-CoV-2,2,2.3272,0.759,False,True,1160.0,7.25,27,1,swab,rt-pcr,True
67,ECN-CAT-QC-002,Determinación de Urea,1,1.9645,0.72,False,True,240.0,1.0,4,0,plasma,espectrofotometria,False
68,ECN-CAT-HEM-002,Determinación de Hemoglobina,1,1.4387,0.527,False,True,500.0,2.25,11,1,blood,citometria,False
69,ECN-CAT-INM-002,Determinación de Factor reumatoide,2,1.6961,0.553,False,True,680.0,3.0,18,1,serum,elisa,False
70,ECN-CAT-MIC-002,Determinación de Coprocultivo,2,3.3513,1.094,True,True,840.0,14.0,25,0,stool,cultivo,True
71,ECN-CAT-COA-002,Determinación de Tiempo de tromboplastina parcial,1,1.9751,0.723,False,True,260.0,1.0,2,0,plasma,coagulometria,False
72,ECN-CAT-END-002,Determinación de Tiroxina libre,1,1.5249,0.558,False,True,500.0,3.0,9,2,plasma,quimioluminiscencia,False
73,ECN-CAT-URO-002,Determinación de Microalbúmina en orina,1,1.9969,0.731,False,True,590.0,2.25,16,0,urine,microscopia,False
74,ECN-CAT-MOL-002,Determinación de Virus de influenza A,2,2.2369,0.73,False,True,1060.0,7.0,23,0,swab,rt-pcr,True
75,ECN-CAT-QC-003,Determinación de Creatinina,2,1.8082,0.59,False,True,780.0,2.5,30,1,serum,colorimetria,True
76,ECN-CAT-HEM-003,Determinación de Hematocrito,1,1.4683,0.538,False,True,290.0,1.5,7,1,blood,microscopia,False
77,ECN-CAT-INM-003,Determinación de Antiestreptolisinas O,1,1.9364,0.709,False,True,610.0,3.25,14,0,serum,quimioluminiscencia,False
78,ECN-CAT-MIC-003,Determinación de Exudado faríngeo,2,3.0958,1.01,True,True,740.0,13.5,21,2,swab,cultivo,False
79,ECN-CAT-COA-003,Determinación de Tiempo de trombina,2,2.2858,0.746,False,True,820.0,2.75,28,3,plasma,coagulometria,True
80,ECN-CAT-END-003,Determinación de Tiroxina total,1,1.7154,0.628,False,True,430.0,2.25,5,0,serum,elisa,False
81,ECN-CAT-URO-003,Determinación de Proteínas en orina,1,1.4501,0.531,False,True,480.0,1.25,12,1,urine,colorimetria,False
82,ECN-CAT-MOL-003,Determinación de Virus de influenza B,2,1.8705,0.61,False,True,960.0,6.75,19,2,swab,rt-pcr,True
83,ECN-CAT-QC-004,Determinación de Ácido úrico,2,1.7552,0.573,False,True,680.0,2.25,26,1,plasma,enzimatico,True
84,ECN-CAT-HEM-004,Determinación de Eritrocitos,1,2.0424,0.748,False,True,260.0,0.75,3,0,blood,impedancia,False
85,ECN-CAT-INM-004,Determinación de Inmunoglobulina A,1,1.6343,0.599,False,True,450.0,2.0,10,0,serum,inmunoensayo,False
86,ECN-CAT-MIC-004,Determinación de Exudado nasal,2,3.0545,0.997,False,True,640.0,13.25,17,1,swab,cultivo,True
87,ECN-CAT-COA-004,Determinación de Fibrinógeno,2,1.9263,0.629,False,True,730.0,2.75,24,0,plasma,coagulometria,False
88,ECN-CAT-END-004,Determinación de Triyodotironina libre,1,1.6853,0.617,False,True,300.0,1.25,1,1,plasma,inmunoensayo,False
89,ECN-CAT-URO-004,Determinación de Glucosa en orina,1,1.4653,0.537,False,True,370.0,1.0,8,1,urine,tira reactiva,False
90,ECN-CAT-MOL-004,Determinación de Virus del papiloma humano,2,2.0925,0.683,False,True,830.0,7.25,15,0,swab,pcr,True
91,ECN-CAT-QC-005,Determinación de Colesterol total,2,2.0888,0.682,False,True,660.0,2.25,22,0,serum,espectrofotometria,False
92,ECN-CAT-HEM-005,Determinación de Leucocitos,2,1.9045,0.621,False,True,920.0,3.25,29,2,blood,citometria,True
93,ECN-CAT-INM-005,Determinación de Inmunoglobulina G,1,1.3479,0.494,False,True,380.0,2.25,6,1,serum,elisa,False
94,ECN-CAT-MIC-005,Determinación de Exudado vaginal,2,3.4312,1.12,True,True,550.0,13.0,13,0,swab,cultivo,False
95,ECN-CAT-COA-005,Determinación de Dímero D,2,2.0081,0.655,False,True,680.0,2.5,20,0,plasma,coagulometria,False
96,ECN-CAT-END-005,Determinación de Triyodotironina total,2,2.26,0.737,False,True,920.0,4.0,27,3,serum,quimioluminiscencia,True
97,ECN-CAT-URO-005,Determinación de Creatinina en orina,1,1.887,0.691,False,True,290.0,1.5,4,0,urine,microscopia,False
98,ECN-CAT-MOL-005,Determinación de Virus de hepatitis B,2,2.1013,0.686,False,True,730.0,7.0,11,2,plasma,pcr,True
99,ECN-CAT-QC-006,Determinación de Triglicéridos,1,1.8709,0.685,False,True,540.0,1.75,18,2,plasma,colorimetria,False
100,ECN-CAT-HEM-006,Determinación de Plaquetas,2,1.7653,0.576,False,True,700.0,2.75,25,2,blood,microscopia,True
101,ECN-CAT-INM-006,Determinación de Inmunoglobulina M,1,1.8868,0.691,False,True,320.0,2.5,2,0,serum,quimioluminiscencia,False
102,ECN-CAT-MIC-006,Determinación de Exudado uretral,2,3.4582,1.128,True,True,500.0,12.75,9,1,swab,cultivo,False
103,ECN-CAT-COA-006,Determinación de INR,1,1.6148,0.591,False,True,580.0,2.25,16,1,plasma,coagulometria,False
104,ECN-CAT-END-006,Determinación de Insulina,2,1.8552,0.605,False,True,790.0,3.25,23,0,plasma,elisa,False
105,ECN-CAT-URO-006,Determinación de Calcio en orina,2,2.1721,0.709,False,True,840.0,2.5,30,0,urine,colorimetria,True
106,ECN-CAT-MOL-006,Determinación de Virus de hepatitis C,2,2.3355,0.762,False,True,690.0,6.75,7,1,plasma,pcr,True
107,ECN-CAT-QC-007,Determinación de Bilirrubina total,1,1.7565,0.643,False,True,430.0,1.5,14,0,serum,enzimatico,False
108,ECN-CAT-HEM-007,Determinación de Reticulocitos,2,2.1473,0.701,False,True,630.0,2.25,21,0,blood,impedancia,False
109,ECN-CAT-INM-007,Determinación de Inmunoglobulina E,2,1.7526,0.572,False,True,820.0,3.25,28,2,serum,inmunoensayo,True
110,ECN-CAT-MIC-007,Determinación de Hemocultivo,1,3.4872,1.277,True,True,400.0,12.5,5,1,blood,cultivo,False
111,ECN-CAT-COA-007,Determinación de Actividad de factor VIII,1,1.6548,0.606,False,True,480.0,2.0,12,0,plasma,coagulometria,False
112,ECN-CAT-END-007,Determinación de Cortisol,2,1.7715,0.578,False,True,660.0,2.5,19,1,serum,inmunoensayo,False
113,ECN-CAT-URO-007,Determinación de Ácido úrico en orina,2,1.792,0.585,False,True,780.0,2.0,26,1,urine,tira reactiva,True
114,ECN-CAT-MOL-007,Determinación de Virus de Epstein-Barr,1,2.3399,0.857,False,True,590.0,6.5,3,1,blood,pcr,True
115,ECN-CAT-QC-008,Determinación de Bilirrubina directa,1,1.5442,0.566,False,True,370.0,1.25,10,2,plasma,espectrofotometria,False
116,ECN-CAT-HEM-008,Determinación de Volumen corpuscular medio,2,2.4621,0.803,False,True,630.0,2.75,17,3,blood,citometria,False
117,ECN-CAT-INM-008,Determinación de Complemento C3,2,1.8724,0.611,False,True,800.0,3.25,24,0,serum,elisa,False
118,ECN-CAT-MIC-008,Determinación de Cultivo de esputo,1,3.7027,1.356,True,True,300.0,12.25,1,1,other,cultivo,True
119,ECN-CAT-COA-008,Determinación de Actividad de factor IX,1,1.4642,0.536,False,True,380.0,1.75,8,2,plasma,coagulometria,False
120,ECN-CAT-END-008,Determinación de Hormona adrenocorticotropa,2,1.9321,0.63,False,True,680.0,3.25,15,2,plasma,quimioluminiscencia,False
121,ECN-CAT-URO-008,Determinación de Sodio en orina,2,2.0426,0.667,False,True,710.0,2.5,22,0,urine,microscopia,False
122,ECN-CAT-MOL-008,Determinación de Citomegalovirus,2,2.6585,0.868,False,True,1150.0,8.25,29,0,blood,pcr,True
123,ECN-CAT-QC-009,Determinación de Alanina aminotransferasa,1,1.8721,0.686,False,True,250.0,1.0,6,0,serum,colorimetria,False
124,ECN-CAT-HEM-009,Determinación de Hemoglobina corpuscular media,1,1.731,0.634,False,True,460.0,2.25,13,0,blood,microscopia,False
125,ECN-CAT-INM-009,Determinación de Complemento C4,2,1.896,0.619,False,True,730.0,3.5,20,0,serum,quimioluminiscencia,False
126,ECN-CAT-MIC-009,Determinación de Cultivo de heridas,2,3.248,1.06,True,True,860.0,14.0,27,2,swab,cultivo,True
127,ECN-CAT-COA-009,Determinación de Actividad de factor XI,1,1.8293,0.67,False,True,290.0,1.25,4,0,plasma,coagulometria,False
128,ECN-CAT-END-009,Determinación de Hormona de crecimiento,1,1.7531,0.642,False,True,550.0,2.5,11,0,serum,elisa,False
129,ECN-CAT-URO-009,Determinación de Potasio en orina,1,1.8726,0.686,False,True,600.0,2.0,18,1,urine,colorimetria,False
130,ECN-CAT-MOL-009,Determinación de Virus herpes simple 1,2,2.1472,0.701,False,True,1050.0,8.0,25,2,swab,pcr,True
131,ECN-CAT-QC-010,Determinación de Aspartato aminotransferasa,1,2.1698,0.795,False,True,190.0,0.5,2,0,plasma,enzimatico,False
132,ECN-CAT-HEM-010,Determinación de Concentración media de hemoglobina,1,1.4032,0.514,False,True,380.0,1.5,9,1,blood,impedancia,False
133,ECN-CAT-INM-010,Determinación de Anticuerpos antinucleares,1,1.7901,0.656,False,True,570.0,2.25,16,2,serum,inmunoensayo,False
134,ECN-CAT-MIC-010,Determinación de Cultivo de secreciones,2,3.266,1.066,True,True,770.0,13.75,23,0,swab,cultivo,False
135,ECN-CAT-COA-010,Determinación de Actividad de factor XII,2,1.7764,0.58,False,True,900.0,3.0,30,1,plasma,coagulometria,True
136,ECN-CAT-END-010,Determinación de Prolactina,1,2.1039,0.771,False,True,420.0,1.75,7,3,plasma,inmunoensayo,False
137,ECN-CAT-URO-010,Determinación de Cloro en orina,1,1.5459,0.566,False,True,490.0,1.5,14,1,urine,tira reactiva,False
138,ECN-CAT-MOL-010,Determinación de Virus herpes simple 2,2,2.1006,0.685,False,True,960.0,7.75,21,0,swab,pcr,True
139,ECN-CAT-QC-011,Determinación de Fosfatasa alcalina,2,2.041,0.666,False,True,780.0,2.5,28,0,serum,espectrofotometria,True
140,ECN-CAT-HEM-011,Determinación de Ancho de distribución eritrocitaria,1,1.4766,0.541,False,True,380.0,2.0,5,1,blood,citometria,False
141,ECN-CAT-INM-011,Determinación de Anticuerpos anti-DNA,1,1.7248,0.632,False,True,510.0,2.5,12,0,serum,elisa,False
142,ECN-CAT-MIC-011,Determinación de Antibiograma,2,3.2093,1.047,True,True,720.0,13.25,19,0,other,cultivo,False
143,ECN-CAT-COA-011,Determinación de Antitrombina III,2,1.6964,0.554,False,True,800.0,2.75,26,2,plasma,coagulometria,True
144,ECN-CAT-END-011,Determinación de Hormona luteinizante,1,1.7908,0.656,False,True,380.0,2.25,3,0,serum,quimioluminiscencia,False
145,ECN-CAT-URO-011,Determinación de Fósforo en orina,1,1.6824,0.616,False,True,420.0,2.0,10,0,urine,microscopia,False
146,ECN-CAT-MOL-011,Determinación de Chlamydia trachomatis,2,1.9098,0.623,False,True,910.0,7.5,17,2,swab,pcr,True
147,ECN-CAT-QC-012,Determinación de Gamma glutamil transferasa,2,1.9218,0.627,False,True,660.0,2.0,24,2,plasma,colorimetria,False
148,ECN-CAT-HEM-012,Determinación de Neutrófilos,1,2.2218,0.814,False,True,170.0,1.5,1,0,blood,microscopia,False
149,ECN-CAT-INM-012,Determinación de Anticuerpos anticardiolipina,1,1.2837,0.47,False,True,440.0,2.75,8,1,serum,quimioluminiscencia,False
150,ECN-CAT-MIC-012,Determinación de Tinción de Gram,1,1.8564,0.68,False,True,520.0,2.5,15,1,other,microscopia,True
151,ECN-CAT-COA-012,Determinación de Proteína C funcional,2,1.9694,0.643,False,True,700.0,2.5,22,0,plasma,coagulometria,False
152,ECN-CAT-END-012,Determinación de Hormona foliculoestimulante,2,1.8335,0.598,False,True,920.0,3.5,29,2,plasma,elisa,True
153,ECN-CAT-URO-012,Determinación de Magnesio en orina,1,1.6619,0.609,False,True,360.0,1.0,6,2,urine,colorimetria,False
154,ECN-CAT-MOL-012,Determinación de Neisseria gonorrhoeae,2,2.1704,0.708,False,True,810.0,7.0,13,0,swab,pcr,True
155,ECN-CAT-QC-013,Determinación de Albúmina,1,2.1667,0.794,False,True,560.0,1.75,20,0,serum,enzimatico,False
156,ECN-CAT-HEM-013,Determinación de Linfocitos,2,1.8378,0.6,False,True,750.0,2.5,27,2,blood,impedancia,True
157,ECN-CAT-INM-013,Determinación de Procalcitonina,1,1.467,0.537,False,True,330.0,1.5,4,1,serum,inmunoensayo,False
158,ECN-CAT-MIC-013,Determinación de Baciloscopía,1,1.7582,0.644,False,True,420.0,2.25,11,0,other,microscopia,False
159,ECN-CAT-COA-013,Determinación de Proteína S funcional,1,2.0723,0.759,False,True,610.0,2.25,18,0,plasma,coagulometria,False
160,ECN-CAT-END-013,Determinación de Estradiol,2,1.5691,0.512,False,True,790.0,2.75,25,1,serum,inmunoensayo,True
161,ECN-CAT-URO-013,Determinación de Urea en orina,1,2.1126,0.774,False,True,250.0,0.75,2,0,urine,tira reactiva,False
162,ECN-CAT-MOL-013,Determinación de Mycobacterium tuberculosis,2,2.4864,0.811,False,True,710.0,6.75,9,0,other,pcr,True
163,ECN-CAT-QC-014,Determinación de Proteínas totales,1,1.7252,0.632,False,True,490.0,1.75,16,2,plasma,espectrofotometria,False
164,ECN-CAT-HEM-014,Determinación de Monocitos,2,1.5922,0.52,False,True,800.0,3.0,23,1,blood,citometria,False
165,ECN-CAT-INM-014,Determinación de Ferritina,2,2.0637,0.673,False,True,920.0,3.75,30,0,serum,elisa,True
166,ECN-CAT-MIC-014,Determinación de Búsqueda de hongos,1,1.6741,0.613,False,True,330.0,1.75,7,2,other,microscopia,False
167,ECN-CAT-COA-014,Determinación de Anticoagulante lúpico,1,1.4031,0.514,False,True,510.0,2.0,14,1,plasma,coagulometria,False
168,ECN-CAT-END-014,Determinación de Progesterona,2,1.8538,0.605,False,True,800.0,3.5,21,0,plasma,quimioluminiscencia,False
169,ECN-CAT-URO-014,Determinación de Osmolalidad urinaria,2,2.007,0.655,False,True,830.0,3.25,28,0,urine,microscopia,True
170,ECN-CAT-MOL-014,Determinación de Bordetella pertussis,1,2.8917,1.059,True,True,610.0,6.5,5,3,swab,pcr,True
171,ECN-CAT-QC-015,Determinación de Calcio,1,1.6788,0.615,False,True,420.0,1.5,12,0,serum,colorimetria,False
172,ECN-CAT-HEM-015,Determinación de Eosinófilos,1,1.8716,0.685,False,True,580.0,2.5,19,1,blood,microscopia,False
173,ECN-CAT-INM-015,Determinación de Troponina I,2,1.6396,0.535,False,True,860.0,4.0,26,2,serum,quimioluminiscencia,True
174,ECN-CAT-MIC-015,Determinación de Coprológico,1,1.7935,0.657,False,True,230.0,1.5,3,1,stool,microscopia,False
175,ECN-CAT-COA-015,Determinación de Resistencia a proteína C activada,1,1.6181,0.593,False,True,460.0,1.75,10,0,plasma,coagulometria,False
176,ECN-CAT-END-015,Determinación de Testosterona total,2,2.0831,0.68,False,True,670.0,2.75,17,0,serum,elisa,False
177,ECN-CAT-URO-015,Determinación de Depuración de creatinina,2,1.7692,0.577,False,True,720.0,2.25,24,1,urine,colorimetria,False
178,ECN-CAT-MOL-015,Determinación de Parvovirus B19,1,2.5249,0.925,False,True,520.0,6.25,1,0,blood,pcr,True
179,ECN-CAT-QC-016,Determinación de Fósforo,1,1.7461,0.64,False,True,310.0,1.25,8,0,plasma,enzimatico,False
180,ECN-CAT-HEM-016,Determinación de Basófilos,1,1.7575,0.644,False,True,510.0,1.75,15,2,blood,impedancia,False
181,ECN-CAT-INM-016,Determinación de Antígeno carcinoembrionario,2,1.6769,0.547,False,True,700.0,2.5,22,1,serum,inmunoensayo,False
182,ECN-CAT-MIC-016,Determinación de Amiba en fresco,2,2.081,0.679,False,True,840.0,3.25,29,0,stool,microscopia,True
183,ECN-CAT-COA-016,Determinación de Agregación plaquetaria,1,1.5395,0.564,False,True,360.0,1.25,6,2,plasma,coagulometria,False
184,ECN-CAT-END-016,Determinación de Testosterona libre,1,1.6143,0.591,False,True,540.0,2.0,13,2,plasma,inmunoensayo,False
185,ECN-CAT-URO-016,Determinación de Sedimento urinario,2,2.2575,0.737,False,True,610.0,2.0,20,0,urine,tira reactiva,False
186,ECN-CAT-MOL-016,Determinación de Dengue por PCR,2,2.2828,0.745,False,True,1160.0,7.0,27,1,blood,rt-pcr,True
187,ECN-CAT-QC-017,Determinación de Magnesio,1,1.6404,0.601,False,True,250.0,1.25,4,1,serum,espectrofotometria,False
188,ECN-CAT-HEM-017,Determinación de Velocidad de sedimentación,1,1.4495,0.531,False,True,510.0,2.25,11,1,blood,citometria,False
189,ECN-CAT-INM-017,Determinación de Alfafetoproteína,2,1.7997,0.587,False,True,630.0,2.75,18,1,serum,elisa,False
190,ECN-CAT-MIC-017,Determinación de Sangre oculta en heces,2,1.8611,0.607,False,True,780.0,2.5,25,2,stool,inmunocromatografia,True
191,ECN-CAT-COA-017,Determinación de Tiempo de sangrado,1,1.9751,0.723,False,True,260.0,1.0,2,0,plasma,coagulometria,False
192,ECN-CAT-END-017,Determinación de Dehidroepiandrosterona,1,1.6918,0.62,False,True,510.0,3.0,9,0,serum,quimioluminiscencia,False
193,ECN-CAT-URO-017,Determinación de Cetonas en orina,1,1.7103,0.626,False,True,590.0,2.25,16,1,urine,microscopia,False
194,ECN-CAT-MOL-017,Determinación de Zika por PCR,2,2.0188,0.659,False,True,1060.0,6.75,23,2,blood,rt-pcr,True
195,ECN-CAT-QC-018,Determinación de Sodio,2,2.0753,0.677,False,True,790.0,2.75,30,0,plasma,colorimetria,True
196,ECN-CAT-HEM-018,Determinación de Frotis de sangre periférica,1,1.7858,0.654,False,True,290.0,1.75,7,0,blood,microscopia,False
197,ECN-CAT-INM-018,Determinación de CA 125,1,1.9256,0.705,False,True,610.0,3.0,14,0,serum,quimioluminiscencia,False
198,ECN-CAT-MIC-018,Determinación de Rotavirus en heces,2,1.8643,0.608,False,True,680.0,2.25,21,1,stool,inmunocromatografia,False
199,ECN-CAT-COA-018,Determinación de Tiempo de coagulación,2,1.972,0.643,False,True,830.0,2.75,28,0,plasma,coagulometria,True
200,ECN-CAT-END-018,Determinación de Aldosterona,1,2.163,0.792,False,True,380.0,2.25,5,3,plasma,elisa,False
201,ECN-CAT-URO-018,Determinación de Hemoglobina en orina,1,1.4358,0.526,False,True,480.0,1.5,12,1,urine,colorimetria,False
202,ECN-CAT-MOL-018,Determinación de Chikungunya por PCR,2,2.0133,0.657,False,True,960.0,6.5,19,0,blood,rt-pcr,True
203,ECN-CAT-QC-019,Determinación de Potasio,2,1.7647,0.576,False,True,680.0,2.25,26,1,serum,enzimatico,True
204,ECN-CAT-HEM-019,Determinación de Conteo diferencial,1,1.9015,0.696,False,True,260.0,1.0,3,2,blood,impedancia,False
205,ECN-CAT-INM-019,Determinación de CA 19-9,1,1.2752,0.467,False,True,450.0,1.75,10,1,serum,inmunoensayo,False
206,ECN-CAT-MIC-019,Determinación de Adenovirus en heces,1,2.1419,0.784,False,True,590.0,2.0,17,0,stool,inmunocromatografia,False
207,ECN-CAT-COA-019,Determinación de Productos de degradación de fibrina,2,1.6239,0.53,False,True,730.0,2.5,24,1,plasma,coagulometria,False
208,ECN-CAT-END-019,Determinación de Renina,1,1.9689,0.721,False,True,300.0,1.5,1,0,serum,inmunoensayo,False
209,ECN-CAT-URO-019,Determinación de Nitritos en orina,1,1.7915,0.656,False,True,370.0,1.0,8,0,urine,tira reactiva,False
210,ECN-CAT-MOL-019,Determinación de Panel respiratorio molecular,2,1.8608,0.607,False,True,870.0,6.0,15,2,swab,rt-pcr,True
211,ECN-CAT-QC-020,Determinación de Cloro,2,1.8562,0.606,False,True,610.0,2.25,22,1,plasma,espectrofotometria,False
212,ECN-CAT-HEM-020,Determinación de Índice plaquetario,2,2.0705,0.676,False,True,920.0,3.5,29,0,blood,citometria,True
213,ECN-CAT-INM-020,Determinación de CA 15-3,1,1.6926,0.62,False,True,390.0,2.25,6,0,serum,elisa,False
214,ECN-CAT-MIC-020,Determinación de Helicobacter pylori,1,1.8084,0.662,False,True,490.0,1.75,13,1,stool,inmunocromatografia,True
215,ECN-CAT-COA-020,Determinación de Factor de von Willebrand,2,1.7236,0.562,False,True,680.0,2.25,20,1,plasma,coagulometria,False
216,ECN-CAT-END-020,Determinación de Paratohormona,2,1.9197,0.626,False,True,920.0,4.25,27,0,plasma,quimioluminiscencia,True
217,ECN-CAT-URO-020,Determinación de Leucocitos en orina,1,2.2865,0.837,False,True,300.0,1.5,4,3,urine,microscopia,False
