study_id,code,name,cluster,distance_to_centroid,is_outlier
93,ECN-CAT-INM-005,Determinación de Inmunoglobulina G,1,0.3614,False
94,ECN-CAT-MIC-005,Determinación de Exudado vaginal,2,2.9566,True
95,ECN-CAT-COA-005,Determinación de Dímero D,2,1.3731,False
96,ECN-CAT-END-005,Determinación de Triyodotironina total,2,1.8024,False
97,ECN-CAT-URO-005,Determinación de Creatinina en orina,1,1.3093,False
98,ECN-CAT-MOL-005,Determinación de Virus de hepatitis B,2,1.6385,False
99,ECN-CAT-QC-006,Determinación de Triglicéridos,1,1.4507,False
100,ECN-CAT-HEM-006,Determinación de Plaquetas,2,1.0293,False
101,ECN-CAT-INM-006,Determinación de Inmunoglobulina M,1,1.3535,False
102,ECN-CAT-MIC-006,Determinación de Exudado uretral,1,2.956,True
103,ECN-CAT-COA-006,Determinación de INR,1,1.1402,False
104,ECN-CAT-END-006,Determinación de Insulina,2,1.1747,False
105,ECN-CAT-URO-006,Determinación de Calcio en orina,2,1.5651,False
106,ECN-CAT-MOL-006,Determinación de Virus de hepatitis C,1,1.7377,False
107,ECN-CAT-QC-007,Determinación de Bilirrubina total,1,1.2487,False
108,ECN-CAT-HEM-007,Determinación de Reticulocitos,2,1.4748,False
109,ECN-CAT-INM-007,Determinación de Inmunoglobulina E,2,1.0682,False
110,ECN-CAT-MIC-007,Determinación de Hemocultivo,1,2.8911,True
111,ECN-CAT-COA-007,Determinación de Actividad de factor VIII,1,1.1601,False
112,ECN-CAT-END-007,Determinación de Cortisol,2,0.9511,False
113,ECN-CAT-URO-007,Determinación de Ácido úrico en orina,2,0.917,False
114,ECN-CAT-MOL-007,Determinación de Virus de Epstein-Barr,1,1.5424,False
115,ECN-CAT-QC-008,Determinación de Bilirrubina directa,1,0.8507,False
116,ECN-CAT-HEM-008,Determinación de Volumen corpuscular medio,2,1.9328,False
117,ECN-CAT-INM-008,Determinación de Complemento C3,2,1.1893,False
118,ECN-CAT-MIC-008,Determinación de Cultivo de esputo,1,2.9663,True
119,ECN-CAT-COA-008,Determinación de Actividad de factor IX,1,0.7838,False
120,ECN-CAT-END-008,Determinación de Hormona adrenocorticotropa,2,1.2765,False
121,ECN-CAT-URO-008,Determinación de Sodio en orina,2,1.3077,False
122,ECN-CAT-MOL-008,Determinación de Citomegalovirus,2,2.2889,False
123,ECN-CAT-QC-009,Determinación de Alanina aminotransferasa,1,1.3524,False
124,ECN-CAT-HEM-009,Determinación de Hemoglobina corpuscular media,1,1.1838,False
125,ECN-CAT-INM-009,Determinación de Complemento C4,2,1.2037,False
126,ECN-CAT-MIC-009,Determinación de Cultivo de heridas,2,2.7591,True
127,ECN-CAT-COA-009,Determinación de Actividad de factor XI,1,1.3242,False
128,ECN-CAT-END-009,Determinación de Hormona de crecimiento,1,1.2342,False
129,ECN-CAT-URO-009,Determinación de Potasio en orina,2,1.2496,False
130,ECN-CAT-MOL-009,Determinación de Virus herpes simple 1,2,1.6526,False
131,ECN-CAT-QC-010,Determinación de Aspartato aminotransferasa,1,1.6986,False
132,ECN-CAT-HEM-010,Determinación de Concentración media de hemoglobina,1,0.3256,False
133,ECN-CAT-INM-010,Determinación de Anticuerpos antinucleares,1,1.3328,False
134,ECN-CAT-MIC-010,Determinación de Cultivo de secreciones,2,2.7475,True
135,ECN-CAT-COA-010,Determinación de Actividad de factor XII,2,1.1555,False
136,ECN-CAT-END-010,Determinación de Prolactina,1,1.6622,False
137,ECN-CAT-URO-010,Determinación de Cloro en orina,1,0.7724,False
138,ECN-CAT-MOL-010,Determinación de Virus herpes simple 2,2,1.5741,False
139,ECN-CAT-QC-011,Determinación de Fosfatasa alcalina,2,1.4258,False
140,ECN-CAT-HEM-011,Determinación de Ancho de distribución eritrocitaria,1,0.4712,False
141,ECN-CAT-INM-011,Determinación de Anticuerpos anti-DNA,1,1.1952,False
142,ECN-CAT-MIC-011,Determinación de Antibiograma,2,2.6609,False
143,ECN-CAT-COA-011,Determinación de Antitrombina III,2,1.0075,False
144,ECN-CAT-END-011,Determinación de Hormona luteinizante,1,1.2347,False
145,ECN-CAT-URO-011,Determinación de Fósforo en orina,1,1.063,False
146,ECN-CAT-MOL-011,Determinación de Chlamydia trachomatis,2,1.3273,False
147,ECN-CAT-QC-012,Determinación de Gamma glutamil transferasa,2,1.2038,False
148,ECN-CAT-HEM-012,Determinación de Neutrófilos,1,1.742,False
149,ECN-CAT-INM-012,Determinación de Anticuerpos anticardiolipina,1,0.2243,False
150,ECN-CAT-MIC-012,Determinación de Tinción de Gram,1,0.8964,False
151,ECN-CAT-COA-012,Determinación de Proteína C funcional,2,1.3191,False
152,ECN-CAT-END-012,Determinación de Hormona foliculoestimulante,2,1.2543,False
153,ECN-CAT-URO-012,Determinación de Magnesio en orina,1,0.9209,False
154,ECN-CAT-MOL-012,Determinación de Neisseria gonorrhoeae,2,1.6629,False
155,ECN-CAT-QC-013,Determinación de Albúmina,2,1.7171,False
156,ECN-CAT-HEM-013,Determinación de Linfocitos,2,1.1094,False
157,ECN-CAT-INM-013,Determinación de Procalcitonina,1,0.7004,False
158,ECN-CAT-MIC-013,Determinación de Baciloscopía,1,1.0834,False
159,ECN-CAT-COA-013,Determinación de Proteína S funcional,2,1.5913,False
160,ECN-CAT-END-013,Determinación de Estradiol,2,0.6832,False
161,ECN-CAT-URO-013,Determinación de Urea en orina,1,1.542,False
162,ECN-CAT-MOL-013,Determinación de Mycobacterium tuberculosis,2,2.0014,False
163,ECN-CAT-QC-014,Determinación de Proteínas totales,1,1.2062,False
164,ECN-CAT-HEM-014,Determinación de Monocitos,2,0.5532,False
165,ECN-CAT-INM-014,Determinación de Ferritina,2,1.5505,False
166,ECN-CAT-MIC-014,Determinación de Búsqueda de hongos,1,0.8677,False
167,ECN-CAT-COA-014,Determinación de Anticoagulante lúpico,1,0.7828,False
168,ECN-CAT-END-014,Determinación de Progesterona,2,1.1607,False
169,ECN-CAT-URO-014,Determinación de Osmolalidad urinaria,2,1.357,False
170,ECN-CAT-MOL-014,Determinación de Bordetella pertussis,1,2.2256,False
171,ECN-CAT-QC-015,Determinación de Calcio,1,1.1458,False
172,ECN-CAT-HEM-015,Determinación de Eosinófilos,2,1.1832,False
173,ECN-CAT-INM-015,Determinación de Troponina I,2,0.9132,False
174,ECN-CAT-MIC-015,Determinación de Coprológico,1,1.0634,False
175,ECN-CAT-COA-015,Determinación de Resistencia a proteína C activada,1,1.0904,False
176,ECN-CAT-END-015,Determinación de Testosterona total,2,1.4678,False
177,ECN-CAT-URO-015,Determinación de Depuración de creatinina,2,0.8184,False
178,ECN-CAT-MOL-015,Determinación de Parvovirus B19,1,1.8075,False
179,ECN-CAT-QC-016,Determinación de Fósforo,1,1.181,False
180,ECN-CAT-HEM-016,Determinación de Basófilos,1,1.1538,False
181,ECN-CAT-INM-016,Determinación de Antígeno carcinoembrionario,2,0.7715,False
182,ECN-CAT-MIC-016,Determinación de Amiba en fresco,2,1.4235,False
183,ECN-CAT-COA-016,Determinación de Agregación plaquetaria,1,0.8937,False
184,ECN-CAT-END-016,Determinación de Testosterona libre,1,1.0682,False
185,ECN-CAT-URO-016,Determinación de Sedimento urinario,2,1.5672,False
186,ECN-CAT-MOL-016,Determinación de Dengue por PCR,2,1.8356,False
187,ECN-CAT-QC-017,Determinación de Magnesio,1,0.9504,False
188,ECN-CAT-HEM-017,Determinación de Velocidad de sedimentación,1,0.5295,False
189,ECN-CAT-INM-017,Determinación de Alfafetoproteína,2,1.0393,False
190,ECN-CAT-MIC-017,Determinación de Sangre oculta en heces,2,1.0064,False
191,ECN-CAT-COA-017,Determinación de Tiempo de sangrado,1,1.5029,False
192,ECN-CAT-END-017,Determinación de Dehidroepiandrosterona,1,1.1396,False
193,ECN-CAT-URO-017,Determinación de Cetonas en orina,1,1.1681,False
194,ECN-CAT-MOL-017,Determinación de Zika por PCR,2,1.495,False
195,ECN-CAT-QC-018,Determinación de Sodio,2,1.5182,False
196,ECN-CAT-HEM-018,Determinación de Frotis de sangre periférica,1,1.1997,False
197,ECN-CAT-INM-018,Determinación de CA 125,1,1.5008,False
198,ECN-CAT-MIC-018,Determinación de Rotavirus en heces,2,0.8869,False
199,ECN-CAT-COA-018,Determinación de Tiempo de coagulación,2,1.409,False
200,ECN-CAT-END-018,Determinación de Aldosterona,1,1.7004,False
201,ECN-CAT-URO-018,Determinación de Hemoglobina en orina,1,0.5723,False
202,ECN-CAT-MOL-018,Determinación de Chikungunya por PCR,2,1.4647,False
203,ECN-CAT-QC-019,Determinación de Potasio,2,0.969,False
204,ECN-CAT-HEM-019,Determinación de Conteo diferencial,1,1.2513,False
205,ECN-CAT-INM-019,Determinación de CA 19-9,1,0.3259,False
206,ECN-CAT-MIC-019,Determinación de Adenovirus en heces,1,1.6301,False
207,ECN-CAT-COA-019,Determinación de Productos de degradación de fibrina,2,0.7421,False
208,ECN-CAT-END-019,Determinación de Renina,1,1.4692,False
209,ECN-CAT-URO-019,Determinación de Nitritos en orina,1,1.1301,False
210,ECN-CAT-MOL-019,Determinación de Panel respiratorio molecular,2,1.2181,False
211,ECN-CAT-QC-020,Determinación de Cloro,2,1.0632,False
212,ECN-CAT-HEM-020,Determinación de Índice plaquetario,2,1.5028,False
213,ECN-CAT-INM-020,Determinación de CA 15-3,1,1.0895,False
214,ECN-CAT-MIC-020,Determinación de Helicobacter pylori,1,0.6577,False
215,ECN-CAT-COA-020,Determinación de Factor de von Willebrand,2,0.9151,False
216,ECN-CAT-END-020,Determinación de Paratohormona,2,1.3575,False
217,ECN-CAT-URO-020,Determinación de Leucocitos en orina,1,1.8114,False
218,ECN-CAT-MOL-020,Determinación de Panel gastrointestinal molecular,2,1.3644,False
219,ECN-CAT-QC-021,Determinación de Hierro sérico,1,1.6231,False
220,ECN-CAT-HEM-021,Determinación de Morfología eritrocitaria,2,1.0147,False
221,ECN-CAT-INM-021,Determinación de Antígeno prostático total,1,1.1411,False
222,ECN-CAT-MIC-021,Determinación de Clostridioides difficile,1,0.3699,False
223,ECN-CAT-COA-021,Determinación de Mezcla de TTPa,1,1.5417,False
224,ECN-CAT-END-021,Determinación de Calcitonina,2,0.4269,False
225,ECN-CAT-URO-021,Determinación de Cristales en orina,2,1.5724,False
226,ECN-CAT-MOL-021,Determinación de Trombofilia hereditaria,1,1.6883,False
227,ECN-CAT-QC-022,Determinación de Amilasa,1,0.7072,False
228,ECN-CAT-HEM-022,Determinación de Morfología leucocitaria,2,1.0662,False
229,ECN-CAT-INM-022,Determinación de Antígeno prostático libre,2,1.3514,False
230,ECN-CAT-MIC-022,Determinación de Estreptococo del grupo A,1,0.6638,False
231,ECN-CAT-COA-022,Determinación de Mezcla de TP,1,0.5701,False
232,ECN-CAT-END-022,Determinación de Péptido C,2,0.9272,False
233,ECN-CAT-URO-022,Determinación de Cilindros urinarios,2,1.3709,False
234,ECN-CAT-MOL-022,Determinación de Mutación JAK2,1,1.5424,False
235,ECN-CAT-QC-023,Determinación de Lipasa,1,1.1019,False
236,ECN-CAT-HEM-023,Determinación de Morfología plaquetaria,2,1.5632,False
237,ECN-CAT-INM-023,Determinación de Serología para dengue,2,0.82,False
238,ECN-CAT-MIC-023,Determinación de Salmonella,1,3.0488,True
239,ECN-CAT-COA-023,Determinación de Factor V,1,0.3095,False
240,ECN-CAT-END-023,Determinación de 17-hidroxiprogesterona,2,1.3686,False
241,ECN-CAT-URO-023,Determinación de Urobilinógeno en orina,2,0.6918,False
242,ECN-CAT-MOL-023,Determinación de BCR-ABL cuantitativo,2,2.0235,False
243,ECN-CAT-QC-024,Determinación de Lactato deshidrogenasa,1,1.3524,False
244,ECN-CAT-HEM-024,Determinación de Hemoparásitos,1,0.9387,False
245,ECN-CAT-INM-024,Determinación de Serología para rubéola,2,0.4884,False
246,ECN-CAT-MIC-024,Determinación de Shigella,2,2.8859,True
247,ECN-CAT-COA-024,Determinación de Factor VII,1,0.8578,False
248,ECN-CAT-END-024,Determinación de Hormona antimülleriana,1,0.6753,False
249,ECN-CAT-URO-024,Determinación de Bilirrubina en orina,2,1.2954,False
250,ECN-CAT-MOL-024,Determinación de HLA-B27,2,1.8757,False
251,ECN-CAT-QC-025,Determinación de Hemoglobina glucosilada,1,1.4893,False
252,ECN-CAT-HEM-025,Determinación de Prueba de falciformación,1,0.3668,False
253,ECN-CAT-INM-025,Determinación de Serología para toxoplasma,1,1.5387,False
254,ECN-CAT-MIC-025,Determinación de Candida albicans,2,2.988,True
255,ECN-CAT-COA-025,Determinación de Factor X,2,1.1263,False
256,ECN-CAT-END-025,Determinación de Somatomedina C,1,1.073,False
257,ECN-CAT-URO-025,Determinación de Relación albúmina creatinina,1,1.0832,False
258,ECN-CAT-MOL-025,Determinación de Carga viral cuantitativa,2,1.3389,False
259,ECN-CAT-QC-026,Cuantificación de Glucosa,2,0.9425,False
260,ECN-CAT-HEM-026,Cuantificación de Biometría hemática,1,1.1392,False
261,ECN-CAT-INM-026,Cuantificación de Proteína C reactiva,1,0.6011,False
262,ECN-CAT-MIC-026,Cuantificación de Urocultivo,2,2.5386,False
263,ECN-CAT-COA-026,Cuantificación de Tiempo de protrombina,2,1.2741,False
264,ECN-CAT-END-026,Cuantificación de Hormona estimulante de tiroides,1,0.6684,False
265,ECN-CAT-URO-026,Cuantificación de Examen general de orina,1,0.2867,False
266,ECN-CAT-MOL-026,Cuantificación de Detección molecular de SARS-CoV-2,2,1.0548,False
267,ECN-CAT-QC-027,Cuantificación de Urea,2,1.4081,False
268,ECN-CAT-HEM-027,Cuantificación de Hemoglobina,1,1.595,False
269,ECN-CAT-INM-027,Cuantificación de Factor reumatoide,1,0.2243,False
270,ECN-CAT-MIC-027,Cuantificación de Coprocultivo,2,2.8448,True
271,ECN-CAT-COA-027,Cuantificación de Tiempo de tromboplastina parcial,2,1.3077,False
272,ECN-CAT-END-027,Cuantificación de Tiroxina libre,2,1.0327,False
273,ECN-CAT-URO-027,Cuantificación de Microalbúmina en orina,1,1.1988,False
274,ECN-CAT-MOL-027,Cuantificación de Virus de influenza A,2,1.9933,False
275,ECN-CAT-QC-028,Cuantificación de Creatinina,2,1.5044,False
276,ECN-CAT-HEM-028,Cuantificación de Hematocrito,2,0.8273,False
277,ECN-CAT-INM-028,Cuantificación de Antiestreptolisinas O,1,0.7004,False
278,ECN-CAT-MIC-028,Cuantificación de Exudado faríngeo,2,2.9668,True
279,ECN-CAT-COA-028,Cuantificación de Tiempo de trombina,2,1.1779,False
280,ECN-CAT-END-028,Cuantificación de Tiroxina total,2,1.2388,False
281,ECN-CAT-URO-028,Cuantificación de Proteínas en orina,1,1.5643,False
282,ECN-CAT-MOL-028,Cuantificación de Virus de influenza B,2,1.61,False
283,ECN-CAT-QC-029,Cuantificación de Ácido úrico,1,0.958,False
284,ECN-CAT-HEM-029,Cuantificación de Eritrocitos,2,0.489,False
285,ECN-CAT-INM-029,Cuantificación de Inmunoglobulina A,2,1.3312,False
286,ECN-CAT-MIC-029,Cuantificación de Exudado nasal,1,2.8677,True
287,ECN-CAT-COA-029,Cuantificación de Fibrinógeno,1,1.2961,False
288,ECN-CAT-END-029,Cuantificación de Triyodotironina libre,2,0.45,False
289,ECN-CAT-URO-029,Cuantificación de Glucosa en orina,2,0.8848,False
290,ECN-CAT-MOL-029,Cuantificación de Virus del papiloma humano,1,1.8939,False
291,ECN-CAT-QC-030,Cuantificación de Colesterol total,1,1.7318,False
292,ECN-CAT-HEM-030,Cuantificación de Leucocitos,2,1.1127,False
293,ECN-CAT-INM-030,Cuantificación de Inmunoglobulina G,2,1.2325,False
294,ECN-CAT-MIC-030,Cuantificación de Exudado vaginal,1,2.9785,True
295,ECN-CAT-COA-030,Cuantificación de Dímero D,1,0.8118,False
296,ECN-CAT-END-030,Cuantificación de Triyodotironina total,2,1.195,False
297,ECN-CAT-URO-030,Cuantificación de Creatinina en orina,2,1.3387,False
298,ECN-CAT-MOL-030,Cuantificación de Virus de hepatitis B,1,1.4833,False
299,ECN-CAT-QC-031,Cuantificación de Triglicéridos,1,1.1861,False
300,ECN-CAT-HEM-031,Cuantificación de Plaquetas,1,0.8911,False
301,ECN-CAT-INM-031,Cuantificación de Inmunoglobulina M,2,1.2858,False
302,ECN-CAT-MIC-031,Cuantificación de Exudado uretral,2,2.8319,True
303,ECN-CAT-COA-031,Cuantificación de INR,1,0.4513,False
304,ECN-CAT-END-031,Cuantificación de Insulina,1,1.3117,False
305,ECN-CAT-URO-031,Cuantificación de Calcio en orina,2,1.1452,False
306,ECN-CAT-MOL-031,Cuantificación de Virus de hepatitis C,2,1.962,False
307,ECN-CAT-QC-032,Cuantificación de Bilirrubina total,1,1.4212,False
308,ECN-CAT-HEM-032,Cuantificación de Reticulocitos,1,0.5295,False
309,ECN-CAT-INM-032,Cuantificación de Inmunoglobulina E,2,1.4657,False
310,ECN-CAT-MIC-032,Cuantificación de Hemocultivo,2,2.7775,True
311,ECN-CAT-COA-032,Cuantificación de Actividad de factor VIII,1,1.2742,False
312,ECN-CAT-END-032,Cuantificación de Cortisol,1,0.8651,False
313,ECN-CAT-URO-032,Cuantificación de Ácido úrico en orina,1,1.2716,False
314,ECN-CAT-MOL-032,Cuantificación de Virus de Epstein-Barr,2,1.3671,False
315,ECN-CAT-QC-033,Cuantificación de Bilirrubina directa,2,1.1167,False
316,ECN-CAT-HEM-033,Cuantificación de Volumen corpuscular medio,1,0.6101,False
317,ECN-CAT-INM-033,Cuantificación de Complemento C3,1,1.1364,False
318,ECN-CAT-MIC-033,Cuantificación de Cultivo de esputo,2,2.7545,True
319,ECN-CAT-COA-033,Cuantificación de Actividad de factor IX,2,1.106,False
320,ECN-CAT-END-033,Cuantificación de Hormona adrenocorticotropa,1,0.4712,False
321,ECN-CAT-URO-033,Cuantificación de Sodio en orina,1,1.181,False
322,ECN-CAT-MOL-033,Cuantificación de Citomegalovirus,2,1.2977,False
323,ECN-CAT-QC-034,Cuantificación de Alanina aminotransferasa,2,1.2268,False
324,ECN-CAT-HEM-034,Cuantificación de Hemoglobina corpuscular media,1,1.4282,False
325,ECN-CAT-INM-034,Cuantificación de Complemento C4,1,0.3489,False
326,ECN-CAT-MIC-034,Cuantificación de Cultivo de heridas,2,2.6029,False
327,ECN-CAT-COA-034,Cuantificación de Actividad de factor XI,2,1.3021,False
328,ECN-CAT-END-034,Cuantificación de Hormona de crecimiento,1,1.9518,False
329,ECN-CAT-URO-034,Cuantificación de Potasio en orina,1,0.8354,False
330,ECN-CAT-MOL-034,Cuantificación de Virus herpes simple 1,2,1.1426,False
331,ECN-CAT-QC-035,Cuantificación de Aspartato aminotransferasa,2,1.1122,False
332,ECN-CAT-HEM-035,Cuantificación de Concentración media de hemoglobina,2,1.2752,False
333,ECN-CAT-INM-035,Cuantificación de Anticuerpos antinucleares,1,0.3596,False
334,ECN-CAT-MIC-035,Cuantificación de Cultivo de secreciones,2,2.8156,True
335,ECN-CAT-COA-035,Cuantificación de Actividad de factor XII,2,1.4079,False
336,ECN-CAT-END-035,Cuantificación de Prolactina,2,0.8821,False
337,ECN-CAT-URO-035,Cuantificación de Cloro en orina,1,1.2921,False
338,ECN-CAT-MOL-035,Cuantificación de Virus herpes simple 2,2,1.8306,False
339,ECN-CAT-QC-036,Cuantificación de Fosfatasa alcalina,1,1.461,False
340,ECN-CAT-HEM-036,Cuantificación de Ancho de distribución eritrocitaria,2,0.9762,False
341,ECN-CAT-INM-036,Cuantificación de Anticuerpos anti-DNA,1,1.3534,False
342,ECN-CAT-MIC-036,Cuantificación de Antibiograma,1,3.0948,True
343,ECN-CAT-COA-036,Cuantificación de Antitrombina III,1,1.1722,False
344,ECN-CAT-END-036,Cuantificación de Hormona luteinizante,2,1.1764,False
345,ECN-CAT-URO-036,Cuantificación de Fósforo en orina,2,1.5446,False
346,ECN-CAT-MOL-036,Cuantificación de Chlamydia trachomatis,1,1.7377,False
347,ECN-CAT-QC-037,Cuantificación de Gamma glutamil transferasa,1,0.7072,False
348,ECN-CAT-HEM-037,Cuantificación de Neutrófilos,2,1.2206,False
349,ECN-CAT-INM-037,Cuantificación de Anticuerpos anticardiolipina,2,0.865,False
350,ECN-CAT-MIC-037,Cuantificación de Tinción de Gram,1,0.9799,False
351,ECN-CAT-COA-037,Cuantificación de Proteína C funcional,1,0.5701,False
352,ECN-CAT-END-037,Cuantificación de Hormona foliculoestimulante,2,1.1899,False
353,ECN-CAT-URO-037,Cuantificación de Magnesio en orina,2,0.878,False
354,ECN-CAT-MOL-037,Cuantificación de Neisseria gonorrhoeae,1,1.5126,False
355,ECN-CAT-QC-038,Cuantificación de Albúmina,1,1.1019,False
356,ECN-CAT-HEM-038,Cuantificación de Linfocitos,2,1.293,False
357,ECN-CAT-INM-038,Cuantificación de Procalcitonina,2,0.5267,False
358,ECN-CAT-MIC-038,Cuantificación de Baciloscopía,1,1.6423,False
359,ECN-CAT-COA-038,Cuantificación de Proteína S funcional,1,0.7956,False
360,ECN-CAT-END-038,Cuantificación de Estradiol,2,1.3477,False
361,ECN-CAT-URO-038,Cuantificación de Urea en orina,2,1.2638,False
362,ECN-CAT-MOL-038,Cuantificación de Mycobacterium tuberculosis,2,2.0254,False
363,ECN-CAT-QC-039,Cuantificación de Proteínas totales,1,0.8728,False
364,ECN-CAT-HEM-039,Cuantificación de Monocitos,1,1.1711,False
365,ECN-CAT-INM-039,Cuantificación de Ferritina,2,0.8632,False
366,ECN-CAT-MIC-039,Cuantificación de Búsqueda de hongos,2,1.0242,False
367,ECN-CAT-COA-039,Cuantificación de Anticoagulante lúpico,1,0.8285,False
368,ECN-CAT-END-039,Cuantificación de Progesterona,1,0.7208,False
369,ECN-CAT-URO-039,Cuantificación de Osmolalidad urinaria,2,1.2691,False
370,ECN-CAT-MOL-039,Cuantificación de Bordetella pertussis,2,1.6466,False
371,ECN-CAT-QC-040,Cuantificación de Calcio,1,1.4549,False
372,ECN-CAT-HEM-040,Cuantificación de Eosinófilos,1,1.0962,False
373,ECN-CAT-INM-040,Cuantificación de Troponina I,1,1.5385,False
374,ECN-CAT-MIC-040,Cuantificación de Coprológico,2,0.7901,False
375,ECN-CAT-COA-040,Cuantificación de Resistencia a proteína C activada,2,1.5892,False
376,ECN-CAT-END-040,Cuantificación de Testosterona total,1,1.6635,False
377,ECN-CAT-URO-040,Cuantificación de Depuración de creatinina,1,1.0648,False
378,ECN-CAT-MOL-040,Cuantificación de Parvovirus B19,2,1.5381,False
379,ECN-CAT-QC-041,Cuantificación de Fósforo,2,0.8953,False
