study_id,study_code,study_name,is_synthetic,type,method,parameter_count,duration_minutes,sample_type,requires_special_processing,normal_price
63,ECN-CAT-COA-001,Determinación de Tiempo de protrombina,True,study,COAGULOMETRÍA,6,75,plasma,False,360.0
64,ECN-CAT-END-001,Determinación de Hormona estimulante de tiroides,True,study,INMUNOENSAYO,13,135,serum,False,540.0
65,ECN-CAT-URO-001,Determinación de Examen general de orina,True,study,TIRA REACTIVA,20,105,urine,False,610.0
66,ECN-CAT-MOL-001,Determinación de Detección molecular de SARS-CoV-2,True,study,RT-PCR,27,435,swab,True,1160.0
67,ECN-CAT-QC-002,Determinación de Urea,True,study,ESPECTROFOTOMETRÍA,4,60,plasma,False,240.0
68,ECN-CAT-HEM-002,Determinación de Hemoglobina,True,study,CITOMETRÍA,11,135,blood,False,500.0
69,ECN-CAT-INM-002,Determinación de Factor reumatoide,True,study,ELISA,18,180,serum,False,680.0
70,ECN-CAT-MIC-002,Determinación de Coprocultivo,True,study,CULTIVO,25,840,stool,True,840.0
71,ECN-CAT-COA-002,Determinación de Tiempo de tromboplastina parcial,True,study,COAGULOMETRÍA,2,60,plasma,False,260.0
72,ECN-CAT-END-002,Determinación de Tiroxina libre,True,study,QUIMIOLUMINISCENCIA,9,180,plasma,False,500.0
73,ECN-CAT-URO-002,Determinación de Microalbúmina en orina,True,study,MICROSCOPÍA,16,135,urine,False,590.0
74,ECN-CAT-MOL-002,Determinación de Virus de influenza A,True,study,RT-PCR,23,420,swab,True,1060.0
75,ECN-CAT-QC-003,Determinación de Creatinina,True,study,COLORIMETRÍA,30,150,serum,True,780.0
76,ECN-CAT-HEM-003,Determinación de Hematocrito,True,study,MICROSCOPÍA,7,90,blood,False,290.0
77,ECN-CAT-INM-003,Determinación de Antiestreptolisinas O,True,study,QUIMIOLUMINISCENCIA,14,195,serum,False,610.0
78,ECN-CAT-MIC-003,Determinación de Exudado faríngeo,True,study,CULTIVO,21,810,swab,False,740.0
79,ECN-CAT-COA-003,Determinación de Tiempo de trombina,True,study,COAGULOMETRÍA,28,165,plasma,True,820.0
80,ECN-CAT-END-003,Determinación de Tiroxina total,True,study,ELISA,5,135,serum,False,430.0
81,ECN-CAT-URO-003,Determinación de Proteínas en orina,True,study,COLORIMETRÍA,12,75,urine,False,480.0
82,ECN-CAT-MOL-003,Determinación de Virus de influenza B,True,study,RT-PCR,19,405,swab,True,960.0
83,ECN-CAT-QC-004,Determinación de Ácido úrico,True,study,ENZIMÁTICO,26,135,plasma,True,680.0
84,ECN-CAT-HEM-004,Determinación de Eritrocitos,True,study,IMPEDANCIA,3,45,blood,False,260.0
85,ECN-CAT-INM-004,Determinación de Inmunoglobulina A,True,study,INMUNOENSAYO,10,120,serum,False,450.0
86,ECN-CAT-MIC-004,Determinación de Exudado nasal,True,study,CULTIVO,17,795,swab,True,640.0
87,ECN-CAT-COA-004,Determinación de Fibrinógeno,True,study,COAGULOMETRÍA,24,165,plasma,False,730.0
88,ECN-CAT-END-004,Determinación de Triyodotironina libre,True,study,INMUNOENSAYO,1,75,plasma,False,300.0
89,ECN-CAT-URO-004,Determinación de Glucosa en orina,True,study,TIRA REACTIVA,8,60,urine,False,370.0
90,ECN-CAT-MOL-004,Determinación de Virus del papiloma humano,True,study,PCR,15,435,swab,True,830.0
91,ECN-CAT-QC-005,Determinación de Colesterol total,True,study,ESPECTROFOTOMETRÍA,22,135,serum,False,660.0
92,ECN-CAT-HEM-005,Determinación de Leucocitos,True,study,CITOMETRÍA,29,195,blood,True,920.0
93,ECN-CAT-INM-005,Determinación de Inmunoglobulina G,True,study,ELISA,6,135,serum,False,380.0
94,ECN-CAT-MIC-005,Determinación de Exudado vaginal,True,study,CULTIVO,13,780,swab,False,550.0
95,ECN-CAT-COA-005,Determinación de Dímero D,True,study,COAGULOMETRÍA,20,150,plasma,False,680.0
96,ECN-CAT-END-005,Determinación de Triyodotironina total,True,study,QUIMIOLUMINISCENCIA,27,240,serum,True,920.0
97,ECN-CAT-URO-005,Determinación de Creatinina en orina,True,study,MICROSCOPÍA,4,90,urine,False,290.0
98,ECN-CAT-MOL-005,Determinación de Virus de hepatitis B,True,study,PCR,11,420,plasma,True,730.0
99,ECN-CAT-QC-006,Determinación de Triglicéridos,True,study,COLORIMETRÍA,18,105,plasma,False,540.0
100,ECN-CAT-HEM-006,Determinación de Plaquetas,True,study,MICROSCOPÍA,25,165,blood,True,700.0
101,ECN-CAT-INM-006,Determinación de Inmunoglobulina M,True,study,QUIMIOLUMINISCENCIA,2,150,serum,False,320.0
102,ECN-CAT-MIC-006,Determinación de Exudado uretral,True,study,CULTIVO,9,765,swab,False,500.0
103,ECN-CAT-COA-006,Determinación de INR,True,study,COAGULOMETRÍA,16,135,plasma,False,580.0
104,ECN-CAT-END-006,Determinación de Insulina,True,study,ELISA,23,195,plasma,False,790.0
105,ECN-CAT-URO-006,Determinación de Calcio en orina,True,study,COLORIMETRÍA,30,150,urine,True,840.0
106,ECN-CAT-MOL-006,Determinación de Virus de hepatitis C,True,study,PCR,7,405,plasma,True,690.0
107,ECN-CAT-QC-007,Determinación de Bilirrubina total,True,study,ENZIMÁTICO,14,90,serum,False,430.0
108,ECN-CAT-HEM-007,Determinación de Reticulocitos,True,study,IMPEDANCIA,21,135,blood,False,630.0
109,ECN-CAT-INM-007,Determinación de Inmunoglobulina E,True,study,INMUNOENSAYO,28,195,serum,True,820.0
110,ECN-CAT-MIC-007,Determinación de Hemocultivo,True,study,CULTIVO,5,750,blood,False,400.0
111,ECN-CAT-COA-007,Determinación de Actividad de factor VIII,True,study,COAGULOMETRÍA,12,120,plasma,False,480.0
112,ECN-CAT-END-007,Determinación de Cortisol,True,study,INMUNOENSAYO,19,150,serum,False,660.0
113,ECN-CAT-URO-007,Determinación de Ácido úrico en orina,True,study,TIRA REACTIVA,26,120,urine,True,780.0
114,ECN-CAT-MOL-007,Determinación de Virus de Epstein-Barr,True,study,PCR,3,390,blood,True,590.0
115,ECN-CAT-QC-008,Determinación de Bilirrubina directa,True,study,ESPECTROFOTOMETRÍA,10,75,plasma,False,370.0
116,ECN-CAT-HEM-008,Determinación de Volumen corpuscular medio,True,study,CITOMETRÍA,17,165,blood,False,630.0
117,ECN-CAT-INM-008,Determinación de Complemento C3,True,study,ELISA,24,195,serum,False,800.0
118,ECN-CAT-MIC-008,Determinación de Cultivo de esputo,True,study,CULTIVO,1,735,other,True,300.0
119,ECN-CAT-COA-008,Determinación de Actividad de factor IX,True,study,COAGULOMETRÍA,8,105,plasma,False,380.0
120,ECN-CAT-END-008,Determinación de Hormona adrenocorticotropa,True,study,QUIMIOLUMINISCENCIA,15,195,plasma,False,680.0
121,ECN-CAT-URO-008,Determinación de Sodio en orina,True,study,MICROSCOPÍA,22,150,urine,False,710.0
122,ECN-CAT-MOL-008,Determinación de Citomegalovirus,True,study,PCR,29,495,blood,True,1150.0
123,ECN-CAT-QC-009,Determinación de Alanina aminotransferasa,True,study,COLORIMETRÍA,6,60,serum,False,250.0
124,ECN-CAT-HEM-009,Determinación de Hemoglobina corpuscular media,True,study,MICROSCOPÍA,13,135,blood,False,460.0
125,ECN-CAT-INM-009,Determinación de Complemento C4,True,study,QUIMIOLUMINISCENCIA,20,210,serum,False,730.0
126,ECN-CAT-MIC-009,Determinación de Cultivo de heridas,True,study,CULTIVO,27,840,swab,True,860.0
127,ECN-CAT-COA-009,Determinación de Actividad de factor XI,True,study,COAGULOMETRÍA,4,75,plasma,False,290.0
128,ECN-CAT-END-009,Determinación de Hormona de crecimiento,True,study,ELISA,11,150,serum,False,550.0
129,ECN-CAT-URO-009,Determinación de Potasio en orina,True,study,COLORIMETRÍA,18,120,urine,False,600.0
130,ECN-CAT-MOL-009,Determinación de Virus herpes simple 1,True,study,PCR,25,480,swab,True,1050.0
131,ECN-CAT-QC-010,Determinación de Aspartato aminotransferasa,True,study,ENZIMÁTICO,2,30,plasma,False,190.0
132,ECN-CAT-HEM-010,Determinación de Concentración media de hemoglobina,True,study,IMPEDANCIA,9,90,blood,False,380.0
133,ECN-CAT-INM-010,Determinación de Anticuerpos antinucleares,True,study,INMUNOENSAYO,16,135,serum,False,570.0
134,ECN-CAT-MIC-010,Determinación de Cultivo de secreciones,True,study,CULTIVO,23,825,swab,False,770.0
135,ECN-CAT-COA-010,Determinación de Actividad de factor XII,True,study,COAGULOMETRÍA,30,180,plasma,True,900.0
136,ECN-CAT-END-010,Determinación de Prolactina,True,study,INMUNOENSAYO,7,105,plasma,False,420.0
137,ECN-CAT-URO-010,Determinación de Cloro en orina,True,study,TIRA REACTIVA,14,90,urine,False,490.0
138,ECN-CAT-MOL-010,Determinación de Virus herpes simple 2,True,study,PCR,21,465,swab,True,960.0
139,ECN-CAT-QC-011,Determinación de Fosfatasa alcalina,True,study,ESPECTROFOTOMETRÍA,28,150,serum,True,780.0
140,ECN-CAT-HEM-011,Determinación de Ancho de distribución eritrocitaria,True,study,CITOMETRÍA,5,120,blood,False,380.0
141,ECN-CAT-INM-011,Determinación de Anticuerpos anti-DNA,True,study,ELISA,12,150,serum,False,510.0
142,ECN-CAT-MIC-011,Determinación de Antibiograma,True,study,CULTIVO,19,795,other,False,720.0
143,ECN-CAT-COA-011,Determinación de Antitrombina III,True,study,COAGULOMETRÍA,26,165,plasma,True,800.0
144,ECN-CAT-END-011,Determinación de Hormona luteinizante,True,study,QUIMIOLUMINISCENCIA,3,135,serum,False,380.0
145,ECN-CAT-URO-011,Determinación de Fósforo en orina,True,study,MICROSCOPÍA,10,120,urine,False,420.0
146,ECN-CAT-MOL-011,Determinación de Chlamydia trachomatis,True,study,PCR,17,450,swab,True,910.0
147,ECN-CAT-QC-012,Determinación de Gamma glutamil transferasa,True,study,COLORIMETRÍA,24,120,plasma,False,660.0
148,ECN-CAT-HEM-012,Determinación de Neutrófilos,True,study,MICROSCOPÍA,1,90,blood,False,170.0
149,ECN-CAT-INM-012,Determinación de Anticuerpos anticardiolipina,True,study,QUIMIOLUMINISCENCIA,8,165,serum,False,440.0
150,ECN-CAT-MIC-012,Determinación de Tinción de Gram,True,study,MICROSCOPÍA,15,150,other,True,520.0
151,ECN-CAT-COA-012,Determinación de Proteína C funcional,True,study,COAGULOMETRÍA,22,150,plasma,False,700.0
152,ECN-CAT-END-012,Determinación de Hormona foliculoestimulante,True,study,ELISA,29,210,plasma,True,920.0
153,ECN-CAT-URO-012,Determinación de Magnesio en orina,True,study,COLORIMETRÍA,6,60,urine,False,360.0
154,ECN-CAT-MOL-012,Determinación de Neisseria gonorrhoeae,True,study,PCR,13,420,swab,True,810.0
155,ECN-CAT-QC-013,Determinación de Albúmina,True,study,ENZIMÁTICO,20,105,serum,False,560.0
156,ECN-CAT-HEM-013,Determinación de Linfocitos,True,study,IMPEDANCIA,27,150,blood,True,750.0
157,ECN-CAT-INM-013,Determinación de Procalcitonina,True,study,INMUNOENSAYO,4,90,serum,False,330.0
158,ECN-CAT-MIC-013,Determinación de Baciloscopía,True,study,MICROSCOPÍA,11,135,other,False,420.0
159,ECN-CAT-COA-013,Determinación de Proteína S funcional,True,study,COAGULOMETRÍA,18,135,plasma,False,610.0
160,ECN-CAT-END-013,Determinación de Estradiol,True,study,INMUNOENSAYO,25,165,serum,True,790.0
161,ECN-CAT-URO-013,Determinación de Urea en orina,True,study,TIRA REACTIVA,2,45,urine,False,250.0
162,ECN-CAT-MOL-013,Determinación de Mycobacterium tuberculosis,True,study,PCR,9,405,other,True,710.0
163,ECN-CAT-QC-014,Determinación de Proteínas totales,True,study,ESPECTROFOTOMETRÍA,16,105,plasma,False,490.0
164,ECN-CAT-HEM-014,Determinación de Monocitos,True,study,CITOMETRÍA,23,180,blood,False,800.0
165,ECN-CAT-INM-014,Determinación de Ferritina,True,study,ELISA,30,225,serum,True,920.0
166,ECN-CAT-MIC-014,Determinación de Búsqueda de hongos,True,study,MICROSCOPÍA,7,105,other,False,330.0
167,ECN-CAT-COA-014,Determinación de Anticoagulante lúpico,True,study,COAGULOMETRÍA,14,120,plasma,False,510.0
168,ECN-CAT-END-014,Determinación de Progesterona,True,study,QUIMIOLUMINISCENCIA,21,210,plasma,False,800.0
169,ECN-CAT-URO-014,Determinación de Osmolalidad urinaria,True,study,MICROSCOPÍA,28,195,urine,True,830.0
170,ECN-CAT-MOL-014,Determinación de Bordetella pertussis,True,study,PCR,5,390,swab,True,610.0
171,ECN-CAT-QC-015,Determinación de Calcio,True,study,COLORIMETRÍA,12,90,serum,False,420.0
172,ECN-CAT-HEM-015,Determinación de Eosinófilos,True,study,MICROSCOPÍA,19,150,blood,False,580.0
173,ECN-CAT-INM-015,Determinación de Troponina I,True,study,QUIMIOLUMINISCENCIA,26,240,serum,True,860.0
174,ECN-CAT-MIC-015,Determinación de Coprológico,True,study,MICROSCOPÍA,3,90,stool,False,230.0
175,ECN-CAT-COA-015,Determinación de Resistencia a proteína C activada,True,study,COAGULOMETRÍA,10,105,plasma,False,460.0
176,ECN-CAT-END-015,Determinación de Testosterona total,True,study,ELISA,17,165,serum,False,670.0
177,ECN-CAT-URO-015,Determinación de Depuración de creatinina,True,study,COLORIMETRÍA,24,135,urine,False,720.0
178,ECN-CAT-MOL-015,Determinación de Parvovirus B19,True,study,PCR,1,375,blood,True,520.0
179,ECN-CAT-QC-016,Determinación de Fósforo,True,study,ENZIMÁTICO,8,75,plasma,False,310.0
180,ECN-CAT-HEM-016,Determinación de Basófilos,True,study,IMPEDANCIA,15,105,blood,False,510.0
181,ECN-CAT-INM-016,Determinación de Antígeno carcinoembrionario,True,study,INMUNOENSAYO,22,150,serum,False,700.0
182,ECN-CAT-MIC-016,Determinación de Amiba en fresco,True,study,MICROSCOPÍA,29,195,stool,True,840.0
183,ECN-CAT-COA-016,Determinación de Agregación plaquetaria,True,study,COAGULOMETRÍA,6,75,plasma,False,360.0
184,ECN-CAT-END-016,Determinación de Testosterona libre,True,study,INMUNOENSAYO,13,120,plasma,False,540.0
185,ECN-CAT-URO-016,Determinación de Sedimento urinario,True,study,TIRA REACTIVA,20,120,urine,False,610.0
186,ECN-CAT-MOL-016,Determinación de Dengue por PCR,True,study,RT-PCR,27,420,blood,True,1160.0
187,ECN-CAT-QC-017,Determinación de Magnesio,True,study,ESPECTROFOTOMETRÍA,4,75,serum,False,250.0
188,ECN-CAT-HEM-017,Determinación de Velocidad de sedimentación,True,study,CITOMETRÍA,11,135,blood,False,510.0
189,ECN-CAT-INM-017,Determinación de Alfafetoproteína,True,study,ELISA,18,165,serum,False,630.0
190,ECN-CAT-MIC-017,Determinación de Sangre oculta en heces,True,study,INMUNOCROMATOGRAFÍA,25,150,stool,True,780.0
191,ECN-CAT-COA-017,Determinación de Tiempo de sangrado,True,study,COAGULOMETRÍA,2,60,plasma,False,260.0
192,ECN-CAT-END-017,Determinación de Dehidroepiandrosterona,True,study,QUIMIOLUMINISCENCIA,9,180,serum,False,510.0
193,ECN-CAT-URO-017,Determinación de Cetonas en orina,True,study,MICROSCOPÍA,16,135,urine,False,590.0
194,ECN-CAT-MOL-017,Determinación de Zika por PCR,True,study,RT-PCR,23,405,blood,True,1060.0
195,ECN-CAT-QC-018,Determinación de Sodio,True,study,COLORIMETRÍA,30,165,plasma,True,790.0
196,ECN-CAT-HEM-018,Determinación de Frotis de sangre periférica,True,study,MICROSCOPÍA,7,105,blood,False,290.0
197,ECN-CAT-INM-018,Determinación de CA 125,True,study,QUIMIOLUMINISCENCIA,14,180,serum,False,610.0
198,ECN-CAT-MIC-018,Determinación de Rotavirus en heces,True,study,INMUNOCROMATOGRAFÍA,21,135,stool,False,680.0
199,ECN-CAT-COA-018,Determinación de Tiempo de coagulación,True,study,COAGULOMETRÍA,28,165,plasma,True,830.0
200,ECN-CAT-END-018,Determinación de Aldosterona,True,study,ELISA,5,135,plasma,False,380.0
201,ECN-CAT-URO-018,Determinación de Hemoglobina en orina,True,study,COLORIMETRÍA,12,90,urine,False,480.0
202,ECN-CAT-MOL-018,Determinación de Chikungunya por PCR,True,study,RT-PCR,19,390,blood,True,960.0
203,ECN-CAT-QC-019,Determinación de Potasio,True,study,ENZIMÁTICO,26,135,serum,True,680.0
204,ECN-CAT-HEM-019,Determinación de Conteo diferencial,True,study,IMPEDANCIA,3,60,blood,False,260.0
205,ECN-CAT-INM-019,Determinación de CA 19-9,True,study,INMUNOENSAYO,10,105,serum,False,450.0
206,ECN-CAT-MIC-019,Determinación de Adenovirus en heces,True,study,INMUNOCROMATOGRAFÍA,17,120,stool,False,590.0
207,ECN-CAT-COA-019,Determinación de Productos de degradación de fibrina,True,study,COAGULOMETRÍA,24,150,plasma,False,730.0
208,ECN-CAT-END-019,Determinación de Renina,True,study,INMUNOENSAYO,1,90,serum,False,300.0
209,ECN-CAT-URO-019,Determinación de Nitritos en orina,True,study,TIRA REACTIVA,8,60,urine,False,370.0
210,ECN-CAT-MOL-019,Determinación de Panel respiratorio molecular,True,study,RT-PCR,15,360,swab,True,870.0
211,ECN-CAT-QC-020,Determinación de Cloro,True,study,ESPECTROFOTOMETRÍA,22,135,plasma,False,610.0
212,ECN-CAT-HEM-020,Determinación de Índice plaquetario,True,study,CITOMETRÍA,29,210,blood,True,920.0
213,ECN-CAT-INM-020,Determinación de CA 15-3,True,study,ELISA,6,135,serum,False,390.0
214,ECN-CAT-MIC-020,Determinación de Helicobacter pylori,True,study,INMUNOCROMATOGRAFÍA,13,105,stool,True,490.0
215,ECN-CAT-COA-020,Determinación de Factor de von Willebrand,True,study,COAGULOMETRÍA,20,135,plasma,False,680.0
216,ECN-CAT-END-020,Determinación de Paratohormona,True,study,QUIMIOLUMINISCENCIA,27,255,plasma,True,920.0
217,ECN-CAT-URO-020,Determinación de Leucocitos en orina,True,study,MICROSCOPÍA,4,90,urine,False,300.0
218,ECN-CAT-MOL-020,Determinación de Panel gastrointestinal molecular,True,study,RT-PCR,11,345,other,True,770.0
219,ECN-CAT-QC-021,Determinación de Hierro sérico,True,study,COLORIMETRÍA,18,105,serum,False,540.0
220,ECN-CAT-HEM-021,Determinación de Morfología eritrocitaria,True,study,MICROSCOPÍA,25,165,blood,True,710.0
221,ECN-CAT-INM-021,Determinación de Antígeno prostático total,True,study,QUIMIOLUMINISCENCIA,2,150,serum,False,320.0
222,ECN-CAT-MIC-021,Determinación de Clostridioides difficile,True,study,INMUNOCROMATOGRAFÍA,9,75,stool,False,440.0
223,ECN-CAT-COA-021,Determinación de Mezcla de TTPa,True,study,COAGULOMETRÍA,16,120,plasma,False,580.0
224,ECN-CAT-END-021,Determinación de Calcitonina,True,study,ELISA,23,210,serum,False,800.0
225,ECN-CAT-URO-021,Determinación de Cristales en orina,True,study,COLORIMETRÍA,30,150,urine,True,850.0
226,ECN-CAT-MOL-021,Determinación de Trombofilia hereditaria,True,study,PCR,7,390,blood,True,690.0
227,ECN-CAT-QC-022,Determinación de Amilasa,True,study,ENZIMÁTICO,14,90,plasma,False,440.0
228,ECN-CAT-HEM-022,Determinación de Morfología leucocitaria,True,study,IMPEDANCIA,21,120,blood,False,630.0
229,ECN-CAT-INM-022,Determinación de Antígeno prostático libre,True,study,INMUNOENSAYO,28,195,serum,True,820.0
230,ECN-CAT-MIC-022,Determinación de Estreptococo del grupo A,True,study,INMUNOCROMATOGRAFÍA,5,60,swab,False,340.0
231,ECN-CAT-COA-022,Determinación de Mezcla de TP,True,study,COAGULOMETRÍA,12,105,plasma,False,490.0
232,ECN-CAT-END-022,Determinación de Péptido C,True,study,INMUNOENSAYO,19,150,plasma,False,670.0
233,ECN-CAT-URO-022,Determinación de Cilindros urinarios,True,study,TIRA REACTIVA,26,135,urine,True,790.0
234,ECN-CAT-MOL-022,Determinación de Mutación JAK2,True,study,PCR,3,390,blood,True,590.0
235,ECN-CAT-QC-023,Determinación de Lipasa,True,study,ESPECTROFOTOMETRÍA,10,90,serum,False,370.0
236,ECN-CAT-HEM-023,Determinación de Morfología plaquetaria,True,study,CITOMETRÍA,17,150,blood,False,630.0
237,ECN-CAT-INM-023,Determinación de Serología para dengue,True,study,ELISA,24,210,serum,False,800.0
238,ECN-CAT-MIC-023,Determinación de Salmonella,True,study,CULTIVO,1,735,stool,False,310.0
239,ECN-CAT-COA-023,Determinación de Factor V,True,study,COAGULOMETRÍA,8,90,plasma,False,390.0
240,ECN-CAT-END-023,Determinación de 17-hidroxiprogesterona,True,study,QUIMIOLUMINISCENCIA,15,195,serum,False,630.0
241,ECN-CAT-URO-023,Determinación de Urobilinógeno en orina,True,study,MICROSCOPÍA,22,165,urine,False,710.0
242,ECN-CAT-MOL-023,Determinación de BCR-ABL cuantitativo,True,study,PCR,29,495,blood,True,1150.0
243,ECN-CAT-QC-024,Determinación de Lactato deshidrogenasa,True,study,COLORIMETRÍA,6,60,plasma,False,250.0
244,ECN-CAT-HEM-024,Determinación de Hemoparásitos,True,study,MICROSCOPÍA,13,120,blood,False,460.0
245,ECN-CAT-INM-024,Determinación de Serología para rubéola,True,study,QUIMIOLUMINISCENCIA,20,225,serum,False,740.0
246,ECN-CAT-MIC-024,Determinación de Shigella,True,study,CULTIVO,27,840,stool,True,870.0
247,ECN-CAT-COA-024,Determinación de Factor VII,True,study,COAGULOMETRÍA,4,60,plasma,False,290.0
248,ECN-CAT-END-024,Determinación de Hormona antimülleriana,True,study,ELISA,11,150,plasma,False,550.0
249,ECN-CAT-URO-024,Determinación de Bilirrubina en orina,True,study,COLORIMETRÍA,18,105,urine,False,600.0
250,ECN-CAT-MOL-024,Determinación de HLA-B27,True,study,PCR,25,480,blood,True,1060.0
251,ECN-CAT-QC-025,Determinación de Hemoglobina glucosilada,True,study,ENZIMÁTICO,2,45,blood,False,140.0
252,ECN-CAT-HEM-025,Determinación de Prueba de falciformación,True,study,IMPEDANCIA,9,75,blood,False,390.0
253,ECN-CAT-INM-025,Determinación de Serología para toxoplasma,True,study,INMUNOENSAYO,16,150,serum,False,580.0
254,ECN-CAT-MIC-025,Determinación de Candida albicans,True,study,CULTIVO,23,825,swab,False,770.0
255,ECN-CAT-COA-025,Determinación de Factor X,True,study,COAGULOMETRÍA,30,195,plasma,True,900.0
256,ECN-CAT-END-025,Determinación de Somatomedina C,True,study,INMUNOENSAYO,7,105,serum,False,420.0
257,ECN-CAT-URO-025,Determinación de Relación albúmina creatinina,True,study,TIRA REACTIVA,14,75,urine,False,490.0
258,ECN-CAT-MOL-025,Determinación de Carga viral cuantitativa,True,study,PCR,21,465,plasma,True,960.0
259,ECN-CAT-QC-026,Cuantificación de Glucosa,True,study,ESPECTROFOTOMETRÍA,28,150,plasma,True,790.0
260,ECN-CAT-HEM-026,Cuantificación de Biometría hemática,True,study,CITOMETRÍA,5,105,blood,False,390.0
261,ECN-CAT-INM-026,Cuantificación de Proteína C reactiva,True,study,ELISA,12,150,serum,False,510.0
262,ECN-CAT-MIC-026,Cuantificación de Urocultivo,True,study,CULTIVO,19,810,urine,False,670.0
