study_id,code,name,is_synthetic,cluster,distance_to_centroid,outlier_threshold,is_outlier
94,ECN-CAT-MIC-005,Determinación de Exudado vaginal,True,2,3.440732949263743,2.8080490982,True
246,ECN-CAT-MIC-024,Determinación de Shigella,True,2,3.41834230255839,2.8080490982,True
518,ECN-CAT-MIC-058,Evaluación de Cultivo de esputo,True,2,3.406833065365873,2.8080490982,True
726,ECN-CAT-MIC-084,Control de Cultivo de heridas,True,2,3.3956804898610105,2.8080490982,True
486,ECN-CAT-MIC-054,Evaluación de Exudado nasal,True,2,3.390654731355022,2.8080490982,True
1046,ECN-CAT-MIC-124,Confirmación de Shigella,True,2,3.3855949659715896,2.8080490982,True
270,ECN-CAT-MIC-027,Cuantificación de Coprocultivo,True,2,3.3813949355882653,2.8080490982,True
70,ECN-CAT-MIC-002,Determinación de Coprocultivo,True,2,3.3769648773885566,2.8080490982,True
878,ECN-CAT-MIC-103,Confirmación de Exudado faríngeo,True,2,3.3621947207720124,2.8080490982,True
686,ECN-CAT-MIC-079,Control de Exudado nasal,True,2,3.328893021664297,2.8080490982,True
510,ECN-CAT-MIC-057,Evaluación de Hemocultivo,True,2,3.3285569412113536,2.8080490982,True
318,ECN-CAT-MIC-033,Cuantificación de Cultivo de esputo,True,2,3.326626448745572,2.8080490982,True
334,ECN-CAT-MIC-035,Cuantificación de Cultivo de secreciones,True,2,3.3212735616420823,2.8080490982,True
446,ECN-CAT-MIC-049,Cuantificación de Shigella,True,2,3.3029054206515007,2.8080490982,True
918,ECN-CAT-MIC-108,Confirmación de Cultivo de esputo,True,2,3.2971282348953115,2.8080490982,True
78,ECN-CAT-MIC-003,Determinación de Exudado faríngeo,True,2,3.296622214193953,2.8080490982,True
134,ECN-CAT-MIC-010,Determinación de Cultivo de secreciones,True,2,3.288973312973609,2.8080490982,True
662,ECN-CAT-MIC-076,Control de Urocultivo,True,2,3.2845268391759452,2.8080490982,True
862,ECN-CAT-MIC-101,Confirmación de Urocultivo,True,2,3.2837823060832574,2.8080490982,True
694,ECN-CAT-MIC-080,Control de Exudado vaginal,True,2,3.2809866799673997,2.8080490982,True
310,ECN-CAT-MIC-032,Cuantificación de Hemocultivo,True,2,3.270816993176289,2.8080490982,True
846,ECN-CAT-MIC-099,Control de Shigella,True,2,3.2426005193498657,2.8080490982,True
142,ECN-CAT-MIC-011,Determinación de Antibiograma,True,2,3.2287641214447054,2.8080490982,True
670,ECN-CAT-MIC-077,Control de Coprocultivo,True,2,3.1851358728496297,2.8080490982,True
494,ECN-CAT-MIC-055,Evaluación de Exudado vaginal,True,2,3.1690311174983754,2.8080490982,True
326,ECN-CAT-MIC-034,Cuantificación de Cultivo de heridas,True,2,3.1504042504050913,2.8080490982,True
755,ECN-CAT-QC-088,Control de Albúmina,True,1,3.14721106112876,2.6636183566,True
854,ECN-CAT-MIC-100,Control de Candida albicans,True,2,3.1404506611110774,2.8080490982,True
910,ECN-CAT-MIC-107,Confirmación de Hemocultivo,True,2,3.13973197379531,2.8080490982,True
1038,ECN-CAT-MIC-123,Confirmación de Salmonella,True,2,3.134225983832303,2.8080490982,True
5,GLU01,GLUCOSA,False,1,3.1330257648897417,2.6636183566,True
14,AU01,ACIDO URICO,False,1,3.1330257648897417,2.6636183566,True
8,TRI01,TRIGLICERIDOS,False,1,3.1330257648897417,2.6636183566,True
502,ECN-CAT-MIC-056,Evaluación de Exudado uretral,True,2,3.128384386602592,2.8080490982,True
20,ALB01,ALBUMINA,False,1,3.127320923356436,2.6636183566,True
742,ECN-CAT-MIC-086,Control de Antibiograma,True,2,3.123277268753913,2.8080490982,True
262,ECN-CAT-MIC-026,Cuantificación de Urocultivo,True,2,3.107452668149742,2.8080490982,True
678,ECN-CAT-MIC-078,Control de Exudado faríngeo,True,2,3.1051425100723256,2.8080490982,True
734,ECN-CAT-MIC-085,Control de Cultivo de secreciones,True,2,3.0998892751776057,2.8080490982,True
274,ECN-CAT-MOL-027,Cuantificación de Virus de influenza A,True,2,3.086936218641996,2.8080490982,True
116,ECN-CAT-HEM-008,Determinación de Volumen corpuscular medio,True,2,3.086029156780364,2.8080490982,True
926,ECN-CAT-MIC-109,Confirmación de Cultivo de heridas,True,2,3.0769654748817827,2.8080490982,True
414,ECN-CAT-MIC-045,Cuantificación de Helicobacter pylori,True,1,3.0731322749640313,2.6636183566,True
30,VDRL01,VDRL,False,1,3.0640381846140743,2.6636183566,True
86,ECN-CAT-MIC-004,Determinación de Exudado nasal,True,2,3.0639178426691225,2.8080490982,True
738,ECN-CAT-MOL-085,Control de Virus herpes simple 2,True,2,3.06155308217988,2.8080490982,True
822,ECN-CAT-MIC-096,Control de Clostridioides difficile,True,1,3.0456062554951417,2.6636183566,True
438,ECN-CAT-MIC-048,Cuantificación de Salmonella,True,2,3.039677478143843,2.8080490982,True
2,BH01,BIOMETRIA HEMATICA,False,1,3.0301147913996402,2.6636183566,True
328,ECN-CAT-END-034,Cuantificación de Hormona de crecimiento,True,1,3.013792177826067,2.6636183566,True
812,ECN-CAT-HEM-095,Control de Índice plaquetario,True,2,3.007168302572324,2.8080490982,True
866,ECN-CAT-MOL-101,Confirmación de Detección molecular de SARS-CoV-2,True,2,2.9901770740757336,2.8080490982,True
829,ECN-CAT-INM-097,Control de Antígeno prostático libre,True,2,2.9675814809014,2.8080490982,True
79,ECN-CAT-COA-003,Determinación de Tiempo de trombina,True,2,2.9630882442759585,2.8080490982,True
1,GLU-001,GLUCOSA,False,1,2.9613430967866647,2.6636183566,True
217,ECN-CAT-URO-020,Determinación de Leucocitos en orina,True,1,2.944571444056981,2.6636183566,True
96,ECN-CAT-END-005,Determinación de Triyodotironina total,True,2,2.9429318076022914,2.8080490982,True
200,ECN-CAT-END-018,Determinación de Aldosterona,True,1,2.8554716898176484,2.6636183566,True
792,ECN-CAT-END-092,Control de Dehidroepiandrosterona,True,1,2.8405413326365494,2.6636183566,True
4,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,False,1,2.83697199797565,2.6636183566,True
291,ECN-CAT-QC-030,Cuantificación de Colesterol total,True,1,2.82988189847278,2.6636183566,True
376,ECN-CAT-END-040,Cuantificación de Testosterona total,True,1,2.809600328218332,2.6636183566,True
136,ECN-CAT-END-010,Determinación de Prolactina,True,1,2.80852732772233,2.6636183566,True
890,ECN-CAT-MOL-104,Confirmación de Virus del papiloma humano,True,1,2.7779868031018915,2.6636183566,True
778,ECN-CAT-MOL-090,Control de Parvovirus B19,True,1,2.748746767973656,2.6636183566,True
954,ECN-CAT-MOL-112,Confirmación de Neisseria gonorrhoeae,True,1,2.7445942295436097,2.6636183566,True
770,ECN-CAT-MOL-089,Control de Bordetella pertussis,True,1,2.710762372871361,2.6636183566,True
714,ECN-CAT-MOL-082,Control de Virus de Epstein-Barr,True,1,2.710228637318683,2.6636183566,True
290,ECN-CAT-MOL-029,Cuantificación de Virus del papiloma humano,True,1,2.695802748157806,2.6636183566,True
1018,ECN-CAT-MOL-120,Confirmación de Panel gastrointestinal molecular,True,1,2.6777817753378192,2.6636183566,True
658,ECN-CAT-MOL-075,Evaluación de Carga viral cuantitativa,True,1,2.669509746721029,2.6636183566,True
